scenario,market_value_multiplier,negative_alpha_contracts,contract_year_traps,trap_top10_overlap_with_base,value_destruction_top10_overlap_with_base,positive_alpha_top10_overlap_with_base,n,clusters,estimate,standard_error,ci_low,ci_high,p_value,r_squared
low,0.75,358,109,8,9,5,434,300,-1.277771565025778,0.3436295053771636,-1.9512853955650185,-0.6042577344865373,0.0002004433449547514,0.18670938129502823
base,1.0,310,93,10,10,10,434,300,-0.9011681405553197,0.4241115869244858,-1.732426850927312,-0.06990943018332751,0.03360018706124525,0.0683696335015388
high,1.25,290,87,10,9,8,434,300,-0.5245647160848612,0.5109261087765435,-1.5259798892868865,0.4768504571171641,0.30456462545078333,0.027707241661384607
