question,minimum_observed_baseline_seasons,outcome,focal_variable,n,clusters,estimate,standard_error,ci_low,ci_high,p_value,r_squared
A_price,1,log_guarantee,performance_spike,434,300,0.38127305996781696,0.021409911722380836,0.33930963299195055,0.4232364869436834,6.098702276331165e-71,0.6471969494269403
B_persistence,1,future_war_per_season,performance_spike,434,300,0.3092171273473243,0.061292800908185896,0.18908323756727996,0.4293510171273687,4.537169610997834e-07,0.28005714214539745
C_alpha,1,alpha_per_year_m,performance_spike,434,300,-0.9011681405553197,0.4241115869244858,-1.732426850927312,-0.06990943018332751,0.03360018706124525,0.0683696335015388
A_price,2,log_guarantee,performance_spike,429,299,0.3809864814133471,0.021575248027416914,0.33869899527960995,0.4232739675470843,8.753771177834194e-70,0.6488721976438079
B_persistence,2,future_war_per_season,performance_spike,429,299,0.311217816512809,0.061589482138691413,0.19050243152097385,0.43193320150464415,4.3469599199427725e-07,0.2836784249733809
C_alpha,2,alpha_per_year_m,performance_spike,429,299,-0.8814878035299453,0.425361296863511,-1.7151959453824268,-0.047779661677463725,0.03823493346584578,0.06850674416852631
A_price,3,log_guarantee,performance_spike,385,272,0.37944998029927585,0.023223283364180936,0.3339323449054812,0.4249676156930705,5.19257995733297e-60,0.6614940085704806
B_persistence,3,future_war_per_season,performance_spike,385,272,0.3165845192043169,0.06571007391429932,0.18779277433229022,0.44537626407634356,1.4507755268872589e-06,0.2888518875397291
C_alpha,3,alpha_per_year_m,performance_spike,385,272,-0.8050082682250359,0.4391094763358905,-1.6656628418433812,0.05564630539330939,0.06676173841494862,0.07606239296927897
